Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,USDA1021,WSM1022
group_1881,,hypothetical protein,2,2,1.0,1,4478,,,,522,522,522.0,USDA1021_04902,WSM1022_03735
aacA4,aacA4,Aminoglycoside N(6')-acetyltransferase type 1,2,2,1.0,1,4476,,,,522,522,522.0,USDA1021_02199,WSM1022_03350
group_1880,,hypothetical protein,2,2,1.0,1,4475,,,,522,522,522.0,USDA1021_01744,WSM1022_00276
group_1876,,hypothetical protein,2,2,1.0,1,4471,,,,525,525,525.0,USDA1021_05443,WSM1022_05402
paaD,paaD,Putative 12-phenylacetyl-CoA epoxidase subunit D,2,2,1.0,1,4470,,,,525,525,525.0,USDA1021_05393,WSM1022_05359
group_1873,,hypothetical protein,2,2,1.0,1,4465,,,,525,525,525.0,USDA1021_02192,WSM1022_03357
ssb_1,ssb_1,Single-stranded DNA-binding protein,2,2,1.0,1,4464,,,,525,525,525.0,USDA1021_00840,WSM1022_01355
folK,folK,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase,2,2,1.0,1,4463,,,,525,525,525.0,USDA1021_00566,WSM1022_01669
mobB,mobB,Molybdopterin-guanine dinucleotide biosynthesis adapter protein,2,2,1.0,1,4462,,,,525,525,525.0,USDA1021_00510,WSM1022_01729
group_1872,,hypothetical protein,2,2,1.0,1,4461,,,,525,525,525.0,USDA1021_00487,WSM1022_01752
group_1870,,hypothetical protein,2,2,1.0,1,4459,,,,528,528,528.0,USDA1021_04013,WSM1022_03936
rppH,rppH,RNA pyrophosphohydrolase,2,2,1.0,1,4457,,,,528,528,528.0,USDA1021_02429,WSM1022_03107
group_1868,,hypothetical protein,2,2,1.0,1,4456,,,,528,528,528.0,USDA1021_01995,WSM1022_00025
ttr,ttr,Acetyltransferase,2,2,1.0,1,4455,,,,528,528,528.0,USDA1021_01978,WSM1022_00038
group_1867,,hypothetical protein,2,2,1.0,1,4454,,,,528,528,528.0,USDA1021_01521,WSM1022_00765
hpaC,hpaC,4-hydroxyphenylacetate 3-monooxygenase reductase component,2,2,1.0,1,4452,,,,528,528,528.0,USDA1021_00622,WSM1022_01624
cobP,cobP,Bifunctional adenosylcobalamin biosynthesis protein CobP,2,2,1.0,1,4451,,,,528,528,528.0,USDA1021_00417,WSM1022_01817
fdhC_2,fdhC_2,Fructose dehydrogenase cytochrome subunit,2,2,1.0,1,4449,,,,531,531,531.0,USDA1021_04970,WSM1022_03668
group_1862,,hypothetical protein,2,2,1.0,1,4446,,,,531,531,531.0,USDA1021_05970,WSM1022_05583
group_1860,,hypothetical protein,2,2,1.0,1,4444,,,,531,531,531.0,USDA1021_05333,WSM1022_05299
cycB_1,cycB_1,Cytochrome c-553I,2,2,1.0,1,4443,,,,531,531,531.0,USDA1021_05196,WSM1022_05164
group_1859,,hypothetical protein,2,2,1.0,1,4442,,,,531,531,531.0,USDA1021_04941,WSM1022_03696
group_1858,,hypothetical protein,2,2,1.0,1,4441,,,,531,531,531.0,USDA1021_04926,WSM1022_03711
pal_2,pal_2,Peptidoglycan-associated lipoprotein,2,2,1.0,1,4440,,,,531,531,531.0,USDA1021_02869,WSM1022_02716
group_1857,,hypothetical protein,2,2,1.0,1,4439,,,,531,531,531.0,USDA1021_01605,WSM1022_00659
group_1855,,hypothetical protein,2,2,1.0,1,4437,,,,531,531,531.0,USDA1021_01191,WSM1022_01013
nusG,nusG,Transcription termination/antitermination protein NusG,2,2,1.0,1,4436,,,,531,531,531.0,USDA1021_01066,WSM1022_01130
yrdA,yrdA,Protein YrdA,2,2,1.0,1,4435,,,,531,531,531.0,USDA1021_00467,WSM1022_01770
group_1853,,hypothetical protein,2,2,1.0,1,4433,,,,534,534,534.0,USDA1021_03227,WSM1022_02358
ppa,ppa,Inorganic pyrophosphatase,2,2,1.0,1,4432,,,,534,534,534.0,USDA1021_02454,WSM1022_03083
group_1852,,hypothetical protein,2,2,1.0,1,4431,,,,534,534,534.0,USDA1021_02347,WSM1022_03202
group_1851,,hypothetical protein,2,2,1.0,1,4430,,,,534,534,534.0,USDA1021_02169,WSM1022_03382
group_1850,,hypothetical protein,2,2,1.0,1,4429,,,,534,534,534.0,USDA1021_01314,WSM1022_00888
rplF,rplF,50S ribosomal protein L6,2,2,1.0,1,4428,,,,534,534,534.0,USDA1021_01037,WSM1022_01158
group_1848,,hypothetical protein,2,2,1.0,1,4425,,,,537,537,537.0,USDA1021_06308,WSM1022_05867
ecfG_1,ecfG_1,ECF RNA polymerase sigma factor EcfG,2,2,1.0,1,4421,,,,537,537,537.0,USDA1021_02771,WSM1022_02823
def_2,def_2,Peptide deformylase,2,2,1.0,1,4420,,,,537,537,537.0,USDA1021_01831,WSM1022_00188
group_1844,,hypothetical protein,2,2,1.0,1,4419,,,,537,537,537.0,USDA1021_01196,WSM1022_01008
group_1843,,hypothetical protein,2,2,1.0,1,4418,,,,537,537,537.0,USDA1021_00570,WSM1022_01665
group_1840,,hypothetical protein,2,2,1.0,1,4415,,,,540,540,540.0,USDA1021_06479,WSM1022_06038
rfbC_1,rfbC_1,dTDP-4-dehydrorhamnose 35-epimerase,2,2,1.0,1,4414,,,,540,540,540.0,USDA1021_06034,WSM1022_05645
group_1839,,hypothetical protein,2,2,1.0,1,4413,,,,540,540,540.0,USDA1021_06013,WSM1022_05624
group_1838,,Peroxiredoxin,2,2,1.0,1,4412,,,,540,540,540.0,USDA1021_03161,WSM1022_02420
group_1837,,hypothetical protein,2,2,1.0,1,4411,,,,540,540,540.0,USDA1021_02482,WSM1022_03055
group_1836,,hypothetical protein,2,2,1.0,1,4410,,,,540,540,540.0,USDA1021_02082,WSM1022_03469
group_1835,,hypothetical protein,2,2,1.0,1,4409,,,,540,540,540.0,USDA1021_01810,WSM1022_00211
group_1834,,hypothetical protein,2,2,1.0,1,4408,,,,540,540,540.0,USDA1021_01203,WSM1022_01001
group_1833,,hypothetical protein,2,2,1.0,1,4407,,,,540,540,540.0,USDA1021_00980,WSM1022_01215
mltC,mltC,Membrane-bound lytic murein transglycosylase C,2,2,1.0,1,4406,,,,540,540,540.0,USDA1021_00093,WSM1022_02145
moaB,moaB,Molybdenum cofactor biosynthesis protein B,2,2,1.0,1,4405,,,,543,543,543.0,USDA1021_05840,WSM1022_00599
ecfG_4,ecfG_4,ECF RNA polymerase sigma factor EcfG,2,2,1.0,1,4404,,,,543,543,543.0,USDA1021_04954,WSM1022_03683
apt,apt,Adenine phosphoribosyltransferase,2,2,1.0,1,4403,,,,543,543,543.0,USDA1021_03267,WSM1022_02314
group_1831,,hypothetical protein,2,2,1.0,1,4401,,,,543,543,543.0,USDA1021_02256,WSM1022_03290
group_1829,,hypothetical protein,2,2,1.0,1,4399,,,,543,543,543.0,USDA1021_00522,WSM1022_01717
group_1828,,hypothetical protein,2,2,1.0,1,4398,,,,546,546,546.0,USDA1021_05475,WSM1022_05434
group_1827,,hypothetical protein,2,2,1.0,1,4397,,,,546,546,546.0,USDA1021_05194,WSM1022_05162
nicF,nicF,Maleamate amidohydrolase,2,2,1.0,1,4394,,,,546,546,546.0,USDA1021_04228,WSM1022_04128
hpt,hpt,Hypoxanthine phosphoribosyltransferase,2,2,1.0,1,4391,,,,546,546,546.0,USDA1021_02956,WSM1022_02622
group_1823,,hypothetical protein,2,2,1.0,1,4390,,,,546,546,546.0,USDA1021_02264,WSM1022_03282
group_1822,,hypothetical protein,2,2,1.0,1,4389,,,,546,546,546.0,USDA1021_01585,WSM1022_00680
group_1821,,hypothetical protein,2,2,1.0,1,4388,,,,546,546,546.0,USDA1021_01495,WSM1022_00791
lemA,lemA,Protein LemA,2,2,1.0,1,4386,,,,549,549,549.0,USDA1021_05852,WSM1022_00609
ndhJ,ndhJ,NAD(P)H-quinone oxidoreductase subunit J chloroplastic,2,2,1.0,1,4385,,,,549,549,549.0,USDA1021_04344,WSM1022_04213
group_1816,,hypothetical protein,2,2,1.0,1,4381,,,,549,549,549.0,USDA1021_02390,WSM1022_03157
puuR,puuR,HTH-type transcriptional regulator PuuR,2,2,1.0,1,4380,,,,549,549,549.0,USDA1021_02303,WSM1022_03244
secB,secB,Protein-export protein SecB,2,2,1.0,1,4377,,,,552,552,552.0,USDA1021_02249,WSM1022_03297
group_1814,,hypothetical protein,2,2,1.0,1,4376,,,,552,552,552.0,0_refound_6,WSM1022_01755
group_1813,,hypothetical protein,2,2,1.0,1,4375,,,,552,552,552.0,USDA1021_06309,WSM1022_05868
group_1812,,hypothetical protein,2,2,1.0,1,4374,,,,552,552,552.0,USDA1021_06211,WSM1022_05770
group_1811,,hypothetical protein,2,2,1.0,1,4373,,,,552,552,552.0,USDA1021_05838,WSM1022_00597
cheD,cheD,Chemoreceptor glutamine deamidase CheD,2,2,1.0,1,4372,,,,552,552,552.0,USDA1021_05601,WSM1022_00386
ogt_2,ogt_2,Methylated-DNA--protein-cysteine methyltransferase,2,2,1.0,1,4371,,,,552,552,552.0,USDA1021_05526,WSM1022_05486
group_1810,,hypothetical protein,2,2,1.0,1,4370,,,,552,552,552.0,USDA1021_05123,WSM1022_05089
maa,maa,Maltose O-acetyltransferase,2,2,1.0,1,4369,,,,552,552,552.0,USDA1021_04661,WSM1022_04526
group_1808,,hypothetical protein,2,2,1.0,1,4367,,,,552,552,552.0,USDA1021_03258,WSM1022_02323
group_1807,,hypothetical protein,2,2,1.0,1,4366,,,,552,552,552.0,USDA1021_02660,WSM1022_02933
group_1806,,putative protein,2,2,1.0,1,4365,,,,552,552,552.0,USDA1021_02389,WSM1022_03158
group_1804,,hypothetical protein,2,2,1.0,1,4363,,,,552,552,552.0,USDA1021_01536,WSM1022_00751
group_1803,,hypothetical protein,2,2,1.0,1,4362,,,,552,552,552.0,USDA1021_01195,WSM1022_01009
group_1802,,hypothetical protein,2,2,1.0,1,4361,,,,552,552,552.0,USDA1021_00567,WSM1022_01668
group_1799,,hypothetical protein,2,2,1.0,1,4358,,,,555,555,555.0,USDA1021_05676,WSM1022_00458
group_1798,,hypothetical protein,2,2,1.0,1,4357,,,,555,555,555.0,USDA1021_05649,WSM1022_00430
todT_1,todT_1,Response regulator protein TodT,2,2,1.0,1,4356,,,,555,555,555.0,USDA1021_04562,WSM1022_04431
ecfG_2,ecfG_2,ECF RNA polymerase sigma factor EcfG,2,2,1.0,1,4354,,,,555,555,555.0,USDA1021_03195,WSM1022_02388
chaC,chaC,Glutathione-specific gamma-glutamylcyclotransferase,2,2,1.0,1,4353,,,,555,555,555.0,USDA1021_02950,WSM1022_02629
group_1796,,hypothetical protein,2,2,1.0,1,4352,,,,555,555,555.0,USDA1021_02753,WSM1022_02841
group_1794,,hypothetical protein,2,2,1.0,1,4350,,,,555,555,555.0,USDA1021_00613,WSM1022_01633
sigR,sigR,ECF RNA polymerase sigma factor SigR,2,2,1.0,1,4349,,,,555,555,555.0,USDA1021_00181,WSM1022_02057
group_1789,,Putative 3-methyladenine DNA glycosylase,2,2,1.0,1,4344,,,,558,558,558.0,USDA1021_05525,WSM1022_05485
msuE,msuE,FMN reductase (NADPH),2,2,1.0,1,4343,,,,558,558,558.0,USDA1021_05462,WSM1022_05421
group_1786,,NAD(P)H-dependent FMN reductase,2,2,1.0,1,4340,,,,558,558,558.0,USDA1021_03133,WSM1022_02445
group_1785,,hypothetical protein,2,2,1.0,1,4339,,,,558,558,558.0,USDA1021_02974,WSM1022_02605
hslV,hslV,ATP-dependent protease subunit HslV,2,2,1.0,1,4338,,,,558,558,558.0,USDA1021_02200,WSM1022_03349
rplE,rplE,50S ribosomal protein L5,2,2,1.0,1,4337,,,,558,558,558.0,USDA1021_01040,WSM1022_01155
group_1784,,hypothetical protein,2,2,1.0,1,4336,,,,561,561,561.0,USDA1021_06378,WSM1022_05936
rsmD,rsmD,Ribosomal RNA small subunit methyltransferase D,2,2,1.0,1,4335,,,,561,561,561.0,USDA1021_05801,WSM1022_00560
group_1783,,hypothetical protein,2,2,1.0,1,4334,,,,561,561,561.0,USDA1021_04513,WSM1022_04385
group_1782,,hypothetical protein,2,2,1.0,1,4333,,,,561,561,561.0,USDA1021_03213,WSM1022_02370
lptA,lptA,Lipopolysaccharide export system protein LptA,2,2,1.0,1,4332,,,,561,561,561.0,USDA1021_01867,WSM1022_00152
group_1781,,hypothetical protein,2,2,1.0,1,4331,,,,561,561,561.0,USDA1021_01250,WSM1022_00952
frr,frr,Ribosome-recycling factor,2,2,1.0,1,4330,,,,561,561,561.0,USDA1021_00903,WSM1022_01289
group_1780,,hypothetical protein,2,2,1.0,1,4329,,,,561,561,561.0,USDA1021_00095,1_refound_21
rfbC_2,rfbC_2,dTDP-4-dehydrorhamnose 35-epimerase,2,2,1.0,1,4326,,,,564,564,564.0,USDA1021_06404,WSM1022_05962
group_1777,,hypothetical protein,2,2,1.0,1,4325,,,,564,564,564.0,USDA1021_05637,WSM1022_00418
rimM,rimM,Ribosome maturation factor RimM,2,2,1.0,1,4321,,,,564,564,564.0,USDA1021_02350,WSM1022_03199
bioY,bioY,Biotin transporter BioY,2,2,1.0,1,4320,,,,564,564,564.0,USDA1021_01620,WSM1022_00644
group_1773,,hypothetical protein,2,2,1.0,1,4319,,,,564,564,564.0,USDA1021_00764,WSM1022_01428
dhfrIII,dhfrIII,Dihydrofolate reductase type 3,2,2,1.0,1,4318,,,,564,564,564.0,USDA1021_00157,WSM1022_02081
group_1771,,hypothetical protein,2,2,1.0,1,4316,,,,567,567,567.0,USDA1021_04454,WSM1022_04301
group_1768,,hypothetical protein,2,2,1.0,1,4313,,,,567,567,567.0,USDA1021_05864,WSM1022_00621
group_1767,,hypothetical protein,2,2,1.0,1,4312,,,,567,567,567.0,USDA1021_05651,WSM1022_00432
group_1766,,hypothetical protein,2,2,1.0,1,4311,,,,567,567,567.0,USDA1021_05353,WSM1022_05318
group_1765,,hypothetical protein,2,2,1.0,1,4310,,,,567,567,567.0,USDA1021_05182,WSM1022_05150
comR_3,comR_3,HTH-type transcriptional repressor ComR,2,2,1.0,1,4309,,,,567,567,567.0,USDA1021_05042,WSM1022_03588
ndhI,ndhI,NAD(P)H-quinone oxidoreductase subunit I chloroplastic,2,2,1.0,1,4308,,,,567,567,567.0,USDA1021_04350,WSM1022_04219
atpH,atpH,ATP synthase subunit delta,2,2,1.0,1,4305,,,,567,567,567.0,USDA1021_02505,WSM1022_03031
nadD,nadD,nicotinate-nucleotide adenylyltransferase,2,2,1.0,1,4304,,,,567,567,567.0,USDA1021_02435,WSM1022_03101
group_1762,,hypothetical protein,2,2,1.0,1,4303,,,,567,567,567.0,USDA1021_02245,WSM1022_03301
nfuA,nfuA,Fe/S biogenesis protein NfuA,2,2,1.0,1,4302,,,,567,567,567.0,USDA1021_01849,WSM1022_00170
group_1761,,hypothetical protein,2,2,1.0,1,4301,,,,567,567,567.0,USDA1021_00680,WSM1022_01567
gfa,gfa,Glutathione-dependent formaldehyde-activating enzyme,2,2,1.0,1,4298,,,,570,570,570.0,USDA1021_05183,WSM1022_05151
group_1758,,hypothetical protein,2,2,1.0,1,4297,,,,570,570,570.0,USDA1021_04946,WSM1022_03691
group_1756,,hypothetical protein,2,2,1.0,1,4295,,,,570,570,570.0,USDA1021_03316,WSM1022_02266
group_1755,,hypothetical protein,2,2,1.0,1,4294,,,,570,570,570.0,USDA1021_02336,WSM1022_03213
efp,efp,Elongation factor P,2,2,1.0,1,4293,,,,570,570,570.0,USDA1021_01973,WSM1022_00043
rpsE,rpsE,30S ribosomal protein S5,2,2,1.0,1,4291,,,,570,570,570.0,USDA1021_01035,WSM1022_01160
group_1751,,hypothetical protein,2,2,1.0,1,4288,,,,573,573,573.0,USDA1021_06412,WSM1022_05970
group_1750,,hypothetical protein,2,2,1.0,1,4287,,,,573,573,573.0,USDA1021_05716,WSM1022_00499
hpf,hpf,Ribosome hibernation promoting factor,2,2,1.0,1,4286,,,,573,573,573.0,USDA1021_01870,WSM1022_00149
group_1749,,hypothetical protein,2,2,1.0,1,4285,,,,573,573,573.0,USDA1021_01211,WSM1022_00993
ppiA,ppiA,Peptidyl-prolyl cis-trans isomerase A,2,2,1.0,1,4284,,,,573,573,573.0,USDA1021_00813,WSM1022_01381
group_1748,,hypothetical protein,2,2,1.0,1,4283,,,,573,573,573.0,USDA1021_00553,WSM1022_01682
ilvH,ilvH,Acetolactate synthase small subunit,2,2,1.0,1,4282,,,,573,573,573.0,USDA1021_00170,WSM1022_02068
group_1747,,hypothetical protein,2,2,1.0,1,4281,,,,576,576,576.0,USDA1021_06237,WSM1022_05798
group_1746,,hypothetical protein,2,2,1.0,1,4280,,,,576,576,576.0,USDA1021_05907,WSM1022_05518
rplI,rplI,50S ribosomal protein L9,2,2,1.0,1,4278,,,,576,576,576.0,USDA1021_01281,WSM1022_00922
group_1744,,hypothetical protein,2,2,1.0,1,4277,,,,576,576,576.0,USDA1021_01181,WSM1022_01020
group_1743,,hypothetical protein,2,2,1.0,1,4276,,,,576,576,576.0,USDA1021_00460,WSM1022_01777
group_1741,,hypothetical protein,2,2,1.0,1,4274,,,,576,576,576.0,USDA1021_00308,WSM1022_01935
group_1740,,Acetyltransferase,2,2,1.0,1,4273,,,,576,576,576.0,USDA1021_00163,WSM1022_02075
group_1738,,hypothetical protein,2,2,1.0,1,4271,,,,579,579,579.0,USDA1021_05099,WSM1022_05065
group_1737,,Corrinoid adenosyltransferase,2,2,1.0,1,4270,,,,579,579,579.0,USDA1021_02968,WSM1022_02611
aroK,aroK,Shikimate kinase,2,2,1.0,1,4269,,,,579,579,579.0,USDA1021_02931,WSM1022_02648
group_1736,,hypothetical protein,2,2,1.0,1,4268,,,,579,579,579.0,USDA1021_02330,WSM1022_03219
sutR,sutR,HTH-type transcriptional regulator SutR,2,2,1.0,1,4267,,,,579,579,579.0,USDA1021_01979,WSM1022_00037
group_1735,,hypothetical protein,2,2,1.0,1,4266,,,,579,579,579.0,USDA1021_01354,WSM1022_00851
nuoB,nuoB,NADH-quinone oxidoreductase subunit B,2,2,1.0,1,4265,,,,579,579,579.0,USDA1021_01144,WSM1022_01053
adk,adk,Adenylate kinase,2,2,1.0,1,4264,,,,579,579,579.0,USDA1021_01031,WSM1022_01164
group_1734,,hypothetical protein,2,2,1.0,1,4263,,,,579,579,579.0,USDA1021_00661,WSM1022_01584
petA,petA,Ubiquinol-cytochrome c reductase iron-sulfur subunit,2,2,1.0,1,4262,,,,579,579,579.0,USDA1021_00557,WSM1022_01678
group_1732,,hypothetical protein,2,2,1.0,1,4260,,,,582,582,582.0,USDA1021_02248,WSM1022_03298
group_1729,,5-formyltetrahydrofolate cyclo-ligase,2,2,1.0,1,4257,,,,582,582,582.0,USDA1021_02849,WSM1022_02736
group_1728,,hypothetical protein,2,2,1.0,1,4256,,,,582,582,582.0,USDA1021_01918,WSM1022_00099
group_1727,,hypothetical protein,2,2,1.0,1,4255,,,,582,582,582.0,USDA1021_00803,WSM1022_01391
group_1725,,hypothetical protein,2,2,1.0,1,4253,,,,585,585,585.0,USDA1021_06194,WSM1022_05753
group_1723,,hypothetical protein,2,2,1.0,1,4251,,,,585,585,585.0,USDA1021_03797,1_refound_36
coaE,coaE,Dephospho-CoA kinase,2,2,1.0,1,4250,,,,585,585,585.0,USDA1021_02251,WSM1022_03295
regA,regA,Photosynthetic apparatus regulatory protein RegA,2,2,1.0,1,4249,,,,585,585,585.0,USDA1021_02191,WSM1022_03358
group_1722,,hypothetical protein,2,2,1.0,1,4248,,,,585,585,585.0,USDA1021_02117,WSM1022_03434
group_1721,,hypothetical protein,2,2,1.0,1,4247,,,,585,585,585.0,USDA1021_01782,WSM1022_00238
ydjA,ydjA,Putative NAD(P)H nitroreductase YdjA,2,2,1.0,1,4246,,,,585,585,585.0,USDA1021_00977,WSM1022_01218
group_1720,,hypothetical protein,2,2,1.0,1,4245,,,,585,585,585.0,USDA1021_00672,WSM1022_01576
phnN,phnN,Ribose 15-bisphosphate phosphokinase PhnN,2,2,1.0,1,4243,,,,588,588,588.0,USDA1021_06464,WSM1022_06022
group_1719,,hypothetical protein,2,2,1.0,1,4242,,,,588,588,588.0,USDA1021_06320,WSM1022_05878
group_1718,,hypothetical protein,2,2,1.0,1,4241,,,,588,588,588.0,USDA1021_05326,WSM1022_05292
yhbO_1,yhbO_1,Protein/nucleic acid deglycase 2,2,2,1.0,1,4240,,,,588,588,588.0,USDA1021_04880,WSM1022_03757
clpP_3,clpP_3,ATP-dependent Clp protease proteolytic subunit,2,2,1.0,1,4239,,,,588,588,588.0,USDA1021_03247,WSM1022_02334
tdk,tdk,Thymidine kinase,2,2,1.0,1,4238,,,,588,588,588.0,USDA1021_03233,WSM1022_02352
group_1717,,hypothetical protein,2,2,1.0,1,4237,,,,588,588,588.0,USDA1021_02439,WSM1022_03097
thpR,thpR,RNA 2'3'-cyclic phosphodiesterase,2,2,1.0,1,4236,,,,588,588,588.0,USDA1021_02375,WSM1022_03172
group_1716,,hypothetical protein,2,2,1.0,1,4235,,,,588,588,588.0,USDA1021_01942,WSM1022_00077
group_1715,,hypothetical protein,2,2,1.0,1,4234,,,,588,588,588.0,USDA1021_01494,WSM1022_00792
rplJ,rplJ,50S ribosomal protein L10,2,2,1.0,1,4233,,,,588,588,588.0,USDA1021_01063,WSM1022_01133
group_1714,,hypothetical protein,2,2,1.0,1,4232,,,,588,588,588.0,USDA1021_00933,WSM1022_01259
group_1713,,hypothetical protein,2,2,1.0,1,4231,,,,588,588,588.0,USDA1021_00806,WSM1022_01388
group_1712,,hypothetical protein,2,2,1.0,1,4230,,,,588,588,588.0,USDA1021_00391,WSM1022_01842
pdtaR,pdtaR,putative transcriptional regulatory protein pdtaR,2,2,1.0,1,4229,,,,591,591,591.0,USDA1021_06605,WSM1022_06163
group_1709,,hypothetical protein,2,2,1.0,1,4226,,,,591,591,591.0,USDA1021_04596,WSM1022_04464
group_1707,,hypothetical protein,2,2,1.0,1,4223,,,,591,591,591.0,USDA1021_02842,WSM1022_02743
eis_2,eis_2,N-acetyltransferase Eis,2,2,1.0,1,4222,,,,591,591,591.0,USDA1021_02731,WSM1022_02863
azoR,azoR,FMN-dependent NADH-azoreductase,2,2,1.0,1,4220,,,,591,591,591.0,USDA1021_01952,WSM1022_00064
group_1705,,hypothetical protein,2,2,1.0,1,4219,,,,591,591,591.0,USDA1021_01934,WSM1022_00083
yibF,yibF,putative GST-like protein YibF,2,2,1.0,1,4218,,,,591,591,591.0,USDA1021_01242,WSM1022_00961
group_1704,,hypothetical protein,2,2,1.0,1,4217,,,,591,591,591.0,USDA1021_00756,WSM1022_01436
group_1703,,hypothetical protein,2,2,1.0,1,4216,,,,591,591,591.0,USDA1021_00479,WSM1022_01758
group_1702,,hypothetical protein,2,2,1.0,1,4215,,,,591,591,591.0,USDA1021_00309,WSM1022_01934
group_1701,,hypothetical protein,2,2,1.0,1,4214,,,,591,591,591.0,USDA1021_00212,WSM1022_02028
group_1698,,hypothetical protein,2,2,1.0,1,4211,,,,594,594,594.0,USDA1021_06318,WSM1022_05876
group_1696,,hypothetical protein,2,2,1.0,1,4209,,,,594,594,594.0,USDA1021_05868,WSM1022_00625
group_1694,,hypothetical protein,2,2,1.0,1,4207,,,,594,594,594.0,USDA1021_03878,WSM1022_04744
group_1692,,hypothetical protein,2,2,1.0,1,4205,,,,594,594,594.0,USDA1021_02358,WSM1022_03189
group_1691,,hypothetical protein,2,2,1.0,1,4204,,,,594,594,594.0,USDA1021_02086,WSM1022_03465
eamB,eamB,Cysteine/O-acetylserine efflux protein,2,2,1.0,1,4203,,,,594,594,594.0,USDA1021_00176,WSM1022_02062
group_1684,,hypothetical protein,2,2,1.0,1,4195,,,,597,597,597.0,USDA1021_03352,WSM1022_02237
msrA2,msrA2,Peptide methionine sulfoxide reductase MsrA 2,2,2,1.0,1,4194,,,,597,597,597.0,USDA1021_02474,WSM1022_03063
rutE,rutE,malonic semialdehyde reductase RutE,2,2,1.0,1,4193,,,,597,597,597.0,USDA1021_02242,WSM1022_03304
group_1683,,hypothetical protein,2,2,1.0,1,4192,,,,597,597,597.0,USDA1021_01828,WSM1022_00191
ctaG,ctaG,Cytochrome c oxidase assembly protein CtaG,2,2,1.0,1,4191,,,,597,597,597.0,USDA1021_01600,WSM1022_00664
nudK,nudK,GDP-mannose pyrophosphatase NudK,2,2,1.0,1,4190,,,,597,597,597.0,USDA1021_01237,WSM1022_00966
group_1682,,hypothetical protein,2,2,1.0,1,4189,,,,597,597,597.0,USDA1021_00350,WSM1022_01895
group_1677,,hypothetical protein,2,2,1.0,1,4184,,,,600,600,600.0,USDA1021_06303,WSM1022_05862
pspA,pspA,Phosphoserine phosphatase 1,2,2,1.0,1,4182,,,,600,600,600.0,USDA1021_05128,WSM1022_05094
fdoG_2,fdoG_2,Formate dehydrogenase-O major subunit,2,2,1.0,1,4181,,,,600,600,600.0,USDA1021_05032,WSM1022_03597
yceF,yceF,7-methyl-GTP pyrophosphatase,2,2,1.0,1,4177,,,,600,600,600.0,USDA1021_02253,WSM1022_03293
pncA,pncA,Nicotinamidase,2,2,1.0,1,4176,,,,600,600,600.0,USDA1021_01680,WSM1022_00339
group_1674,,hypothetical protein,2,2,1.0,1,4175,,,,600,600,600.0,USDA1021_01291,WSM1022_00912
group_1673,,NAD(P)H dehydrogenase (quinone),2,2,1.0,1,4174,,,,600,600,600.0,USDA1021_00749,WSM1022_01443
group_1672,,hypothetical protein,2,2,1.0,1,4173,,,,600,600,600.0,USDA1021_00379,WSM1022_01854
group_1670,,hypothetical protein,2,2,1.0,1,4171,,,,600,600,600.0,USDA1021_00127,WSM1022_02111
mhqD_2,mhqD_2,Putative hydrolase MhqD,2,2,1.0,1,4168,,,,603,603,603.0,USDA1021_06435,WSM1022_05993
phnH,phnH,Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnH,2,2,1.0,1,4167,,,,603,603,603.0,USDA1021_05488,WSM1022_05447
group_1667,,hypothetical protein,2,2,1.0,1,4164,,,,603,603,603.0,USDA1021_04656,WSM1022_04518
mhqD_1,mhqD_1,Putative hydrolase MhqD,2,2,1.0,1,4163,,,,603,603,603.0,USDA1021_04163,WSM1022_04068
group_1666,,hypothetical protein,2,2,1.0,1,4162,,,,603,603,603.0,USDA1021_02453,WSM1022_03084
olsG,olsG,Ornithine lipid N-methyltransferase,2,2,1.0,1,4161,,,,603,603,603.0,USDA1021_01917,WSM1022_00100
sodB,sodB,Superoxide dismutase [Mn],2,2,1.0,1,4160,,,,603,603,603.0,USDA1021_01532,WSM1022_00755
group_1664,,hypothetical protein,2,2,1.0,1,4156,,,,606,606,606.0,USDA1021_00976,WSM1022_01219
thiE_2,thiE_2,Thiamine-phosphate synthase,2,2,1.0,1,4154,,,,606,606,606.0,USDA1021_05418,WSM1022_05377
group_1662,,hypothetical protein,2,2,1.0,1,4153,,,,606,606,606.0,USDA1021_05285,WSM1022_05251
leuD,leuD,3-isopropylmalate dehydratase small subunit,2,2,1.0,1,4151,,,,606,606,606.0,USDA1021_02419,WSM1022_03117
group_1660,,hypothetical protein,2,2,1.0,1,4150,,,,606,606,606.0,USDA1021_02151,WSM1022_03400
recR,recR,Recombination protein RecR,2,2,1.0,1,4149,,,,606,606,606.0,USDA1021_02021,WSM1022_03538
bioN,bioN,Energy-coupling factor transporter transmembrane protein BioN,2,2,1.0,1,4148,,,,606,606,606.0,USDA1021_01619,WSM1022_00645
group_1659,,hypothetical protein,2,2,1.0,1,4147,,,,606,606,606.0,USDA1021_01590,WSM1022_00674
nqo5,nqo5,NADH-quinone oxidoreductase chain 5,2,2,1.0,1,4145,,,,606,606,606.0,USDA1021_01143,WSM1022_01054
