MtrunA17r5.0-ANR gene ID	Noble reannotated genome transcript ID
MtrunA17_Chr1g0173391	Medtr0121s0010.1
MtrunA17_Chr1g0176931	Medtr1g055435.1
MtrunA17_Chr4g0057031	Medtr4g102380.1
MtrunA17_Chr5g0427821	Medtr5g066740.1
MtrunA17_Chr3g0080841	Medtr3g011590.1
MtrunA17_Chr6g0482181	Medtr6g078580.1
MtrunA17_Chr3g0084561	Medtr3g019820.1
MtrunA17_Chr2g0294591	Medtr2g034470.1
MtrunA17_Chr6g0476691	Medtr6g060020.1
MtrunA17_Chr8g0338761	Medtr8g011740.1
MtrunA17_Chr3g0129991	Medtr3g096030.1
MtrunA17_Chr7g0221231	Medtr7g018990.1
MtrunA17_Chr2g0319761	Medtr2g083430.1
MtrunA17_Chr1g0212831	Medtr1g115490.1
MtrunA17_Chr7g0215021	Medtr7g407100.1
MtrunA17_Chr7g0262281	Medtr7g098810.1
MtrunA17_Chr6g0486411	Medtr6g088140.1
MtrunA17_Chr6g0468091	Medtr4g120490.1
MtrunA17_Chr4g0023951	Medtr4g045840.1
MtrunA17_Chr6g0484981	Medtr6g085080.1
MtrunA17_Chr7g0219571	Medtr7g015230.1
MtrunA17_Chr4g0074071	Medtr4g130980.1
MtrunA17_Chr8g0335741	Medtr8g007210.1
MtrunA17_Chr4g0043511	Medtr4g083500.1
MtrunA17_Chr8g0366071	Medtr8g066040.1
MtrunA17_Chr2g0305121	Medtr2g461200.1
MtrunA17_Chr1g0162711	Medtr1g034490.1
MtrunA17_Chr8g0377631	Medtr8g097210.1
MtrunA17_Chr2g0333091	Medtr2g103810.1
MtrunA17_Chr2g0332521	Medtr4g063625.1
MtrunA17_Chr5g0407281	Medtr5g024560.1
MtrunA17_Chr1g0208701	MT35v5_Medtr1g042610.1
MtrunA17_Chr4g0071721	Medtr4g127310.1
MtrunA17_Chr7g0269451	Medtr7g108805.1
MtrunA17_Chr6g0478901	MT35v5_Medtr6g071760.1
MtrunA17_Chr7g0258471	Medtr7g092930.1
MtrunA17_Chr7g0221021	Medtr7g018670.1
MtrunA17_Chr3g0117311	Medtr3g077460.1
MtrunA17_Chr4g0076991	Medtr4g134760.1
MtrunA17_Chr8g0365251	Medtr8g064230.1
MtrunA17_Chr7g0235771	Medtr7g056243.1
MtrunA17_Chr4g0058801	Medtr4g105460.1
MtrunA17_Chr8g0369581	Medtr8g071820.1
MtrunA17_Chr5g0422791	Medtr5g054920.1
MtrunA17_Chr5g0445941	MT35v5_Medtr5g095090.1
MtrunA17_Chr1g0205971	Medtr1g105415.1
MtrunA17_Chr2g0303421	Medtr2g048150.1
MtrunA17_Chr8g0336951	Medtr8g009290.1
MtrunA17_Chr4g0038821	Medtr4g076090.1
MtrunA17_Chr2g0279091	Medtr2g008770.1
MtrunA17_Chr1g0195071	Medtr1g087775.1
MtrunA17_Chr7g0216201	MT35v5_contig_190833_1.1
MtrunA17_Chr3g0083571	Medtr3g017590.1
MtrunA17_Chr2g0297641	Medtr2g438630.1
MtrunA17_Chr4g0039281	Medtr4g076990.1
MtrunA17_Chr4g0070071	Medtr4g124750.1
MtrunA17_Chr2g0299081	Medtr2g038720.1
MtrunA17_Chr8g0369361	Medtr8g071100.1
MtrunA17_Chr4g0018771	Medtr4g036680.1
MtrunA17_Chr7g0268271	Medtr1g116957.1
MtrunA17_Chr6g0453941	Medtr6g013435.1
MtrunA17_Chr7g0243971	Medtr7g071220.1
MtrunA17_Chr3g0093381	Medtr3g040800.1
MtrunA17_Chr5g0432691	Medtr5g075380.1
MtrunA17_Chr6g0460891	Medtr6g027650.1
MtrunA17_Chr4g0009711	Medtr4g021530.1
MtrunA17_Chr1g0185271	Medtr1g071630.1
MtrunA17_Chr7g0235091	Medtr7g055660.1
MtrunA17_Chr1g0160161	Medtr1g030450.1
MtrunA17_Chr4g0030961	Medtr4g063220.1
MtrunA17_Chr7g0239661	Medtr7g063520.1
MtrunA17_Chr1g0158871	Medtr1g028380.1
MtrunA17_Chr3g0091951	Medtr3g435210.1
MtrunA17_Chr5g0408101	MT4Noble_031905.1
MtrunA17_Chr5g0401451	Medtr5g016060.1
MtrunA17_Chr3g0118891	Medtr3g079630.1
MtrunA17_Chr8g0363601	Medtr8g470050.1
MtrunA17_Chr4g0025431	Medtr4g050460.1
MtrunA17_Chr1g0163811	Medtr1g036840.1
MtrunA17_Chr4g0071781	Medtr4g127370.1
MtrunA17_Chr7g0257281	Medtr7g091260.1
MtrunA17_Chr8g0383121	Medtr8g091860.1
MtrunA17_Chr1g0147121	Medtr1g008230.1
MtrunA17_Chr2g0289141	Medtr2g024300.1
MtrunA17_Chr3g0093131	Medtr3g437790.1
MtrunA17_Chr7g0262241	Medtr7g098760.1
MtrunA17_Chr3g0133961	Medtr3g101770.1
MtrunA17_Chr8g0350921	Medtr8g033040.1
MtrunA17_Chr1g0156231	Medtr1g023955.1
MtrunA17_Chr3g0114561	Medtr3g072360.1
MtrunA17_Chr5g0419481	Medtr5g045310.1
MtrunA17_Chr8g0346691	Medtr8g027435.1
MtrunA17_Chr2g0324631	Medtr3g450170.1
MtrunA17_Chr6g0451291	Medtr6g007770.1
MtrunA17_Chr5g0414351	Medtr5g035590.1
MtrunA17_Chr2g0279801	Medtr2g009820.1
MtrunA17_Chr7g0247511	Medtr7g077260.1
MtrunA17_Chr7g0232091	Medtr7g045370.1
MtrunA17_Chr4g0056331	Medtr4g101140.1
MtrunA17_Chr4g0050451	Medtr4g094238.1
MtrunA17_Chr8g0355791	Medtr8g045640.1
MtrunA17_Chr2g0303961	Medtr2g049430.1
MtrunA17_Chr5g0440041	Medtr5g086960.1
MtrunA17_Chr3g0119601	Medtr3g080470.1
MtrunA17_Chr7g0276161	Medtr7g118095.1
MtrunA17_Chr8g0368021	Medtr8g069505.1
MtrunA17_Chr8g0389671	Medtr8g102250.1
MtrunA17_Chr4g0044391	MT35v5_contig_65795_2.1
MtrunA17_Chr7g0253711	Medtr7g086200.1
MtrunA17_Chr8g0392761	Medtr8g106900.1
MtrunA17_Chr6g0467611	Medtr6g044780.1
MtrunA17_Chr4g0014131	Medtr4g032290.1
MtrunA17_Chr5g0424011	Medtr5g058370.1
MtrunA17_Chr3g0129841	Medtr3g095790.1
MtrunA17_Chr3g0088261	Medtr6g070930.1
MtrunA17_Chr6g0455711	Medtr0087s0040.1
MtrunA17_Chr6g0459791	Medtr6g024165.1
MtrunA17_Chr6g0480171	Medtr6g074140.1
MtrunA17_Chr5g0436341	Medtr5g081710.1
MtrunA17_Chr2g0315261	Medtr2g075510.1
MtrunA17_Chr6g0481111	Medtr6g477950.1
MtrunA17_Chr8g0374191	Medtr6g009110.1
MtrunA17_Chr1g0190991	Medtr1g081450.1
MtrunA17_Chr7g0234441	Medtr7g052690.1
MtrunA17_Chr2g0328911	Medtr2g098110.1
MtrunA17_Chr7g0276311	Medtr7g118210.1
MtrunA17_Chr3g0120151	Medtr3g081290.1
MtrunA17_Chr1g0201711	Medtr1g098530.1
MtrunA17_Chr3g0093331	Medtr3g040670.1
MtrunA17_Chr3g0141901	Medtr3g112260.1
MtrunA17_Chr3g0139071	Medtr3g109030.1
MtrunA17_Chr7g0245921	Medtr7g075050.1
MtrunA17_Chr4g0046071	Medtr4g087885.1
MtrunA17_Chr2g0333571	Medtr2g104610.1
MtrunA17_Chr8g0357321	MT4Noble_050929.1
MtrunA17_Chr5g0424491	Medtr5g059820.1
MtrunA17_Chr5g0447251	Medtr5g096860.1
MtrunA17_Chr3g0123121	Medtr3g086090.1
MtrunA17_Chr4g0033861	Medtr4g068220.1
MtrunA17_Chr6g0460211	Medtr6g025320.1
MtrunA17_Chr4g0028271	Medtr4g057595.1
MtrunA17_Chr4g0013311	Medtr4g029490.1
MtrunA17_Chr5g0448221	Medtr5g098470.1
MtrunA17_Chr0c02g0489731	Medtr0299s0030.1
MtrunA17_Chr7g0223811	Medtr7g026120.1
MtrunA17_Chr8g0341881	Medtr8g016120.1
MtrunA17_Chr4g0054631	MT35v5_Medtr6g073940.1
MtrunA17_Chr6g0474431	Medtr6g464450.1
MtrunA17_Chr8g0364611	Medtr8g063220.1
MtrunA17_Chr6g0463391	Medtr6g034755.1
MtrunA17_Chr4g0063461	Medtr4g114040.1
MtrunA17_Chr8g0378451	Medtr8g085550.1
MtrunA17_Chr2g0316361	Medtr2g078160.1
MtrunA17_Chr7g0241721	Medtr7g066990.1
MtrunA17_Chr7g0264841	Medtr7g102860.1
MtrunA17_Chr2g0282941	Medtr2g014740.1
MtrunA17_Chr3g0087771	Medtr3g028520.1
MtrunA17_Chr1g0208541	Medtr1g108470.1
MtrunA17_Chr4g0056901	Medtr4g102220.1
MtrunA17_Chr4g0035261	Medtr4g070590.1
MtrunA17_Chr2g0308171	Medtr2g461560.1
MtrunA17_Chr2g0332181	Medtr2g102550.1
MtrunA17_Chr8g0371191	Medtr8g074780.1
MtrunA17_Chr8g0356321	Medtr8g447090.1
MtrunA17_Chr3g0140451	Medtr3g110270.1
MtrunA17_Chr1g0192441	Medtr1g083720.1
MtrunA17_Chr2g0284041	Medtr0722s0020.1
MtrunA17_Chr7g0217101	Medtr7g010010.1
MtrunA17_Chr7g0272771	Medtr7g113405.1
MtrunA17_Chr4g0062391	Medtr4g112080.10
MtrunA17_Chr1g0194021	Medtr1g086095.1
MtrunA17_Chr1g0199941	Medtr1g095500.1
MtrunA17_Chr2g0304101	Medtr2g049780.1
MtrunA17_Chr2g0288361	Medtr2g023100.1
MtrunA17_Chr1g0168911	Medtr1g045980.1
MtrunA17_Chr2g0279761	Medtr2g009760.1
MtrunA17_Chr8g0373111	Medtr8g077390.1
MtrunA17_Chr2g0321821	Medtr2g087000.1
MtrunA17_Chr3g0122401	Medtr3g085160.1
MtrunA17_Chr4g0002391	Medtr4g008260.1
MtrunA17_Chr2g0283721	Medtr2g015887.1
MtrunA17_Chr4g0071831	Medtr1g048060.1
MtrunA17_Chr1g0212751	Medtr8g445870.1
MtrunA17_Chr4g0038181	Medtr4g075010.1
MtrunA17_Chr5g0431111	Medtr5g072455.1
MtrunA17_Chr4g0006471	Medtr4g015980.1
MtrunA17_Chr4g0074171	Medtr4g131180.1
MtrunA17_Chr4g0073831	Medtr4g130680.1
MtrunA17_Chr7g0220991	Medtr7g018640.1
MtrunA17_Chr3g0143721	Medtr3g115110.1
MtrunA17_Chr8g0338831	Medtr8g011725.1
MtrunA17_Chr1g0149861	Medtr1g013190.1
MtrunA17_Chr8g0348781	Medtr8g030620.1
MtrunA17_Chr6g0465731	Medtr6g040270.1
MtrunA17_Chr3g0080051	Medtr3g010190.1
MtrunA17_Chr3g0085301	MT35v5_contig_62838_1.1
MtrunA17_Chr3g0140611	Medtr3g110395.1
MtrunA17_Chr7g0218761	Medtr7g013150.1
MtrunA17_Chr7g0227601	Medtr7g033870.1
MtrunA17_Chr2g0322211	Medtr2g087710.1
MtrunA17_Chr7g0225091	Medtr7g028890.1
MtrunA17_Chr4g0030401	Medtr4g061800.1
MtrunA17_Chr8g0384451	Medtr8g093920.1
MtrunA17_Chr8g0371561	Medtr8g075310.1
MtrunA17_Chr4g0032541	Medtr4g065113.1
MtrunA17_Chr1g0160721	Medtr1g031530.1
MtrunA17_Chr7g0267861	Medtr7g106780.1
MtrunA17_Chr5g0407981	Medtr5g025310.1
MtrunA17_Chr3g0087221	Medtr3g026310.1
MtrunA17_Chr5g0418201	Medtr5g042980.1
MtrunA17_Chr1g0212881	Medtr1g115520.1
MtrunA17_Chr3g0093051	Medtr3g437990.1
MtrunA17_Chr6g0455131	Medtr6g015665.1
MtrunA17_Chr5g0441871	Medtr5g089670.1
MtrunA17_Chr8g0357361	Medtr8g056740.1
MtrunA17_Chr1g0165291	Medtr0365s0010.1
MtrunA17_Chr6g0458221	Medtr6g021970.1
MtrunA17_Chr8g0342301	Medtr8g016975.1
MtrunA17_Chr8g0341541	Medtr8g015600.1
MtrunA17_Chr6g0472421	Medtr0020s0020.1
MtrunA17_Chr3g0113611	Medtr3g070810.1
MtrunA17_Chr7g0256431	Medtr7g090160.1
MtrunA17_Chr3g0097101	Medtr3g452380.1
MtrunA17_Chr1g0196561	Medtr1g089900.1
MtrunA17_Chr1g0180191	Medtr1g062650.1
MtrunA17_Chr4g0056971	Medtr4g102280.1
MtrunA17_Chr3g0105821	Medtr3g465440.1
MtrunA17_Chr4g0039431	Medtr4g077300.3
MtrunA17_Chr6g0478091	Medtr6g068940.1
MtrunA17_Chr4g0057541	Medtr4g103500.1
MtrunA17_Chr4g0038221	Medtr4g075050.1
MtrunA17_Chr8g0366241	Medtr8g066280.1
MtrunA17_Chr8g0341091	Medtr8g015010.1
MtrunA17_Chr2g0322671	Medtr2g088400.1
MtrunA17_Chr2g0322551	Medtr2g088220.1
MtrunA17_Chr1g0202701	Medtr1g100100.1
MtrunA17_Chr8g0365231	Medtr8g064180.1
MtrunA17_Chr4g0051001	Medtr4g094360.3
MtrunA17_Chr6g0465871	Medtr6g039440.1
MtrunA17_Chr8g0362941	Medtr8g469600.1
MtrunA17_Chr8g0342191	Medtr8g016510.1
MtrunA17_Chr8g0361241	Medtr8g465380.1
MtrunA17_Chr5g0420891	Medtr0009s0410.1
MtrunA17_Chr1g0146771	Medtr1g007740.1
MtrunA17_Chr4g0030341	Medtr4g061610.1
MtrunA17_Chr2g0301961	MT4Noble_013822.1
MtrunA17_Chr3g0101351	Medtr3g056615.1
MtrunA17_Chr3g0114411	Medtr3g072160.1
MtrunA17_Chr2g0331681	Medtr2g101880.1
MtrunA17_Chr8g0337111	MT4Noble_048561.1
MtrunA17_Chr5g0401971	MT4Noble_031238.1
MtrunA17_Chr6g0456761	Medtr6g016935.1
MtrunA17_Chr2g0302181	MT35v5_Medtr2g045110.1
MtrunA17_Chr5g0398791	Medtr5g011900.1
MtrunA17_Chr2g0291781	Medtr2g029030.1
MtrunA17_Chr2g0298381	Medtr2g037420.1
MtrunA17_Chr8g0377731	Medtr8g080910.1
MtrunA17_Chr8g0339851	Medtr8g012965.1
MtrunA17_Chr7g0257141	Medtr7g091020.1
MtrunA17_Chr7g0246881	Medtr7g076400.1
MtrunA17_Chr5g0398101	Medtr5g010950.1
MtrunA17_Chr2g0283431	Medtr2g015520.1
MtrunA17_Chr8g0379231	Medtr8g086590.1
MtrunA17_Chr3g0085421	Medtr3g022060.1
MtrunA17_Chr2g0299781	Medtr2g040150.1
MtrunA17_Chr2g0318131	Medtr2g080040.1
MtrunA17_Chr8g0382321	Medtr8g090270.1
MtrunA17_Chr8g0347751	Medtr8g028160.1
MtrunA17_Chr1g0194661	Medtr1g087020.1
MtrunA17_Chr4g0034351	Medtr4g068920.1
MtrunA17_Chr1g0206531	Medtr1g105820.1
MtrunA17_Chr3g0141091	Medtr3g111290.1
MtrunA17_Chr4g0049511	Medtr4g092960.1
MtrunA17_Chr6g0451701	MT35v5_Medtr6g008550.1
MtrunA17_Chr5g0415701	Medtr5g037810.1
MtrunA17_Chr4g0065721	Medtr4g117310.1
MtrunA17_Chr4g0034761	Medtr4g069770.1
MtrunA17_Chr3g0123691	Medtr3g086790.1
MtrunA17_Chr1g0160271	Medtr1g030720.1
MtrunA17_Chr6g0479231	Medtr6g071320.1
MtrunA17_Chr7g0229721	Medtr0043s0110.1
MtrunA17_Chr4g0035311	Medtr4g070670.1
MtrunA17_Chr8g0373201	Medtr8g077290.1
MtrunA17_Chr3g0120471	Medtr3g082150.1
MtrunA17_Chr1g0158101	Medtr1g027420.1
MtrunA17_Chr8g0376211	MT4Noble_056592.1
MtrunA17_Chr8g0356001	Medtr8g046240.1
MtrunA17_Chr4g0017991	Medtr4g035655.1
MtrunA17_Chr2g0288251	Medtr2g022950.1
MtrunA17_Chr7g0242061	Medtr1g074240.1
MtrunA17_Chr8g0366611	Medtr8g066850.1
MtrunA17_Chr1g0159531	Medtr1g029500.1
MtrunA17_Chr3g0145541	Medtr3g117800.1
MtrunA17_Chr2g0317511	Medtr2g085170.1
MtrunA17_Chr7g0219701	Medtr7g015520.1
MtrunA17_Chr8g0380731	Medtr8g088860.1
MtrunA17_Chr6g0452101	Medtr6g009097.1
MtrunA17_Chr1g0183051	Medtr1g069345.1
MtrunA17_Chr5g0445291	Medtr5g094410.1
MtrunA17_Chr7g0275361	Medtr3g062450.1
MtrunA17_Chr8g0385681	Medtr8g096170.1
MtrunA17_Chr6g0458711	Medtr6g022570.1
MtrunA17_Chr1g0183121	Medtr1g069420.1
MtrunA17_Chr7g0224721	Medtr7g028570.1
MtrunA17_Chr6g0473251	Medtr0014s0210.1
MtrunA17_Chr7g0245801	Medtr1g080840.1
MtrunA17_Chr7g0225681	Medtr8g077990.1
MtrunA17_Chr1g0154471	Medtr1g021825.1
MtrunA17_Chr4g0075871	Medtr4g133360.2
MtrunA17_Chr8g0347451	Medtr8g027975.1
MtrunA17_Chr3g0107961	Medtr3g062010.1
MtrunA17_Chr5g0444101	Medtr5g092700.1
MtrunA17_Chr2g0289231	Medtr2g024440.1
MtrunA17_Chr7g0245431	Medtr7g074360.1
MtrunA17_Chr2g0279191	Medtr2g008920.1
MtrunA17_Chr5g0440591	Medtr5g087790.1
MtrunA17_Chr4g0057511	Medtr4g103450.1
MtrunA17_Chr2g0303981	Medtr2g049530.1
MtrunA17_Chr2g0329521	Medtr2g099020.1
MtrunA17_Chr3g0133491	Medtr3g101140.1
MtrunA17_Chr2g0310961	Medtr2g066860.1
MtrunA17_Chr6g0487391	Medtr6g090080.1
MtrunA17_Chr4g0008911	Medtr4g020070.1
MtrunA17_Chr8g0339411	Medtr8g012610.1
MtrunA17_Chr1g0169861	Medtr1g047720.1
MtrunA17_Chr3g0083821	Medtr3g018640.1
MtrunA17_Chr1g0188861	Medtr1g077640.1
MtrunA17_Chr1g0183721	Medtr1g069785.1
MtrunA17_Chr3g0102981	Medtr3g061030.1
MtrunA17_Chr3g0095221	Medtr3g449590.1
MtrunA17_Chr4g0057621	Medtr4g103610.1
MtrunA17_Chr7g0220181	Medtr7g016780.1
MtrunA17_Chr8g0369931	Medtr8g072540.1
MtrunA17_Chr5g0426971	Medtr5g065260.1
MtrunA17_Chr4g0003251	Medtr4g010160.1
MtrunA17_Chr2g0284491	Medtr2g017920.1
MtrunA17_Chr5g0438011	Medtr5g083840.1
MtrunA17_Chr2g0330601	Medtr2g100460.1
MtrunA17_Chr2g0290091	Medtr2g026030.1
MtrunA17_Chr1g0211181	Medtr1g112780.1
MtrunA17_Chr4g0071271	Medtr4g126310.1
MtrunA17_Chr1g0170881	Medtr1g036750.1
MtrunA17_Chr4g0024941	Medtr4g049540.1
MtrunA17_Chr4g0009781	Medtr4g021690.1
MtrunA17_Chr8g0356101	Medtr8g446460.1
MtrunA17_Chr6g0476361	Medtr6g060510.1
MtrunA17_Chr4g0011851	Medtr5g045770.1
MtrunA17_Chr6g0469591	Medtr6g049320.2
MtrunA17_Chr3g0115931	Medtr3g074780.1
MtrunA17_Chr7g0258261	Medtr7g092700.1
MtrunA17_Chr3g0129971	Medtr3g096000.1
MtrunA17_Chr3g0108771	Medtr4g058550.1
MtrunA17_Chr4g0063571	Medtr4g114330.1
MtrunA17_Chr8g0390651	Medtr8g083530.1
MtrunA17_Chr4g0050361	Medtr4g094202.1
MtrunA17_Chr8g0374371	Medtr8g079250.1
MtrunA17_Chr1g0192031	MT35v5_Medtr1g083150.1
MtrunA17_Chr2g0289361	Medtr2g025140.1
MtrunA17_Chr3g0138661	Medtr3g108310.1
MtrunA17_Chr3g0124441	Medtr3g087830.1
MtrunA17_Chr1g0187681	Medtr1g476030.1
MtrunA17_Chr2g0319011	Medtr2g081950.1
MtrunA17_Chr1g0213841	Medtr1g116953.1
MtrunA17_Chr8g0356111	Medtr8g446490.1
MtrunA17_Chr5g0410821	Medtr5g029640.1
MtrunA17_Chr5g0443731	Medtr5g092150.1
MtrunA17_Chr7g0246761	Medtr7g076250.1
MtrunA17_Chr7g0260361	Medtr7g095690.1
MtrunA17_Chr1g0163751	Medtr4g022520.1
MtrunA17_Chr1g0190871	MT35v5_Medtr1g081210.1
MtrunA17_Chr3g0104091	Medtr3g462840.1
MtrunA17_Chr4g0022461	Medtr4g046087.1
MtrunA17_Chr2g0287851	Medtr7g069610.1
MtrunA17_Chr3g0080221	Medtr3g010440.1
MtrunA17_Chr8g0355171	Medtr8g044030.1
MtrunA17_Chr5g0397551	Medtr5g010330.1
MtrunA17_Chr1g0170161	Medtr1g048330.1
MtrunA17_Chr8g0348441	Medtr8g028680.1
MtrunA17_Chr8g0372441	Medtr8g076590.1
MtrunA17_Chr2g0297871	Medtr2g036380.1
MtrunA17_Chr3g0141411	Medtr3g111690.1
MtrunA17_Chr1g0162611	Medtr1g034350.1
MtrunA17_Chr8g0365841	Medtr8g064920.1
MtrunA17_Chr4g0040601	Medtr4g079110.1
MtrunA17_Chr5g0443821	Medtr5g092280.1
MtrunA17_Chr2g0327721	Medtr2g096210.1
MtrunA17_Chr1g0146621	Medtr0312s0040.1
MtrunA17_Chr8g0390551	Medtr8g103540.1
MtrunA17_Chr8g0340531	Medtr8g014160.1
MtrunA17_Chr3g0088571	Medtr3g029650.1
MtrunA17_Chr7g0227241	MT35v5_contig_75413_1.1
MtrunA17_Chr3g0121261	Medtr3g083570.1
MtrunA17_Chr7g0275761	Medtr4g108910.1
MtrunA17_Chr5g0427241	Medtr8g073195.1
MtrunA17_Chr4g0070431	MT35v5_contig_71055_1.1
MtrunA17_Chr7g0272681	Medtr7g113270.1
MtrunA17_Chr4g0046671	Medtr4g088415.1
MtrunA17_Chr4g0071521	Medtr4g127040.1
MtrunA17_Chr5g0401721	Medtr5g016480.1
MtrunA17_Chr3g0135811	Medtr3g104510.1
MtrunA17_Chr5g0396691	Medtr5g009350.1
MtrunA17_Chr3g0118701	Medtr3g479520.1
MtrunA17_Chr3g0081681	Medtr3g013470.1
MtrunA17_Chr1g0153041	Medtr1g018910.1
MtrunA17_Chr7g0273851	Medtr7g114680.1
MtrunA17_Chr8g0378921	Medtr8g086040.1
MtrunA17_Chr5g0434841	Medtr5g078860.1
MtrunA17_Chr3g0118901	Medtr3g079640.1
MtrunA17_Chr8g0340221	Medtr8g013730.1
MtrunA17_Chr1g0179231	Medtr1g061080.1
MtrunA17_Chr4g0037461	Medtr4g073920.1
MtrunA17_Chr1g0200881	Medtr1g097110.1
MtrunA17_Chr3g0143141	Medtr3g114300.1
MtrunA17_Chr4g0018111	Medtr4g034100.1
MtrunA17_Chr1g0157741	Medtr1g026890.1
MtrunA17_Chr5g0427071	Medtr5g065500.1
MtrunA17_Chr4g0060251	Medtr4g107930.1
MtrunA17_Chr8g0358431	Medtr0275s0010.1
MtrunA17_Chr2g0307671	Medtr2g056190.1
MtrunA17_Chr4g0074611	MT4Noble_039541.1
MtrunA17_Chr4g0014681	Medtr4g033200.1
MtrunA17_Chr1g0166771	Medtr1g041885.1
MtrunA17_Chr7g0223471	Medtr7g025010.1
MtrunA17_Chr6g0454701	Medtr6g015260.1
MtrunA17_Chr8g0364311	Medtr8g062800.1
MtrunA17_Chr3g0099011	Medtr3g052090.1
MtrunA17_Chr3g0127981	Medtr3g092830.1
MtrunA17_Chr6g0487291	Medtr0620s0010.1
MtrunA17_Chr3g0138351	Medtr3g108520.1
MtrunA17_Chr4g0028361	Medtr4g057670.1
MtrunA17_Chr3g0084371	Medtr3g019360.1
MtrunA17_Chr7g0264051	Medtr7g101130.1
MtrunA17_Chr7g0270211	MT35v5_Medtr7g109820.1
MtrunA17_Chr8g0346001	Medtr8g024480.1
MtrunA17_Chr6g0467071	Medtr6g043160.1
MtrunA17_Chr1g0175361	Medtr1g054100.1
MtrunA17_Chr3g0098431	MT4Noble_016116.1
MtrunA17_Chr6g0479081	Medtr6g071400.1
MtrunA17_Chr1g0149761	Medtr1g013070.1
MtrunA17_Chr1g0172281	MT35v5_AC225449_2.1
MtrunA17_Chr7g0239241	Medtr7g062850.1
MtrunA17_Chr5g0420071	Medtr5g046750.1
MtrunA17_Chr8g0381791	Medtr8g089935.1
MtrunA17_Chr3g0082621	Medtr3g014790.1
MtrunA17_Chr4g0036601	Medtr4g072630.1
MtrunA17_Chr1g0169411	Medtr1g046660.1
MtrunA17_Chr1g0187831	Medtr1g093110.1
MtrunA17_Chr2g0330731	Medtr2g100570.1
MtrunA17_Chr2g0318421	Medtr2g080990.1
MtrunA17_Chr1g0196781	Medtr1g090170.1
MtrunA17_Chr4g0008891	Medtr4g020000.1
MtrunA17_Chr5g0416131	Medtr5g038590.1
MtrunA17_Chr4g0036191	Medtr4g072230.1
MtrunA17_Chr7g0254801	Medtr7g087890.1
MtrunA17_Chr3g0144281	Medtr3g116080.1
MtrunA17_Chr2g0326981	Medtr2g095020.1
MtrunA17_Chr2g0279101	Medtr2g008770.1
MtrunA17_Chr6g0473891	Medtr0672s0010.1
MtrunA17_Chr2g0278471	Medtr2g007870.1
MtrunA17_Chr4g0056681	Medtr4g101870.1
MtrunA17_Chr5g0432791	Medtr5g075520.1
MtrunA17_Chr2g0329191	Medtr2g098520.1
MtrunA17_Chr5g0395401	Medtr5g007610.1
MtrunA17_Chr2g0325441	MT4Noble_013151.1
MtrunA17_Chr4g0035301	Medtr4g070660.1
MtrunA17_Chr0c22g0493851	Medtr4g117120.1
MtrunA17_Chr1g0204101	Medtr1g101950.1
MtrunA17_Chr1g0169251	Medtr1g046440.1
MtrunA17_Chr8g0356581	Medtr1g051400.1
MtrunA17_Chr8g0369951	Medtr8g072550.1
MtrunA17_Chr7g0274981	Medtr7g116480.1
MtrunA17_Chr7g0214121	Medtr7g005400.1
MtrunA17_Chr3g0082501	Medtr3g014650.1
MtrunA17_Chr7g0265431	Medtr7g103210.1
MtrunA17_Chr4g0036721	Medtr4g072780.1
MtrunA17_Chr3g0108661	Medtr3g062910.1
MtrunA17_Chr4g0059911	Medtr4g107460.1
MtrunA17_Chr4g0023671	Medtr4g045707.1
MtrunA17_Chr2g0302021	Medtr2g044880.1
MtrunA17_Chr8g0347741	Medtr8g028150.1
MtrunA17_Chr3g0125241	Medtr3g088615.1
MtrunA17_Chr5g0402221	Medtr1g088900.1
MtrunA17_Chr8g0370411	MT4Noble_050361.1
MtrunA17_Chr7g0247651	Medtr4g037660.1
MtrunA17_Chr8g0348461	Medtr8g028700.1
MtrunA17_Chr2g0316161	Medtr2g077960.1
MtrunA17_Chr1g0184151	Medtr1g070120.1
MtrunA17_Chr4g0069441	Medtr4g124080.1
MtrunA17_Chr8g0385161	Medtr8g095130.1
MtrunA17_Chr7g0214901	Medtr7g406950.1
MtrunA17_Chr3g0139461	Medtr3g109540.1
MtrunA17_Chr2g0324441	Medtr2g090390.1
MtrunA17_Chr4g0052721	Medtr4g094738.1
MtrunA17_Chr6g0483281	Medtr6g081310.1
MtrunA17_Chr8g0371291	Medtr8g074900.1
MtrunA17_Chr5g0402521	Medtr5g017810.1
MtrunA17_Chr8g0338481	Medtr8g011377.1
MtrunA17_Chr2g0332661	Medtr2g103303.1
MtrunA17_Chr2g0306961	Medtr2g054460.1
MtrunA17_Chr4g0005551	Medtr4g014480.1
MtrunA17_Chr7g0242531	Medtr7g068620.1
MtrunA17_Chr3g0109311	Medtr3g063490.1
MtrunA17_Chr2g0290581	Medtr7g099550.1
MtrunA17_Chr8g0360511	Medtr8g463760.1
MtrunA17_Chr5g0430871	Medtr5g072070.1
MtrunA17_Chr1g0147491	Medtr1g008990.1
MtrunA17_Chr6g0452051	Medtr6g009070.1
MtrunA17_Chr7g0219451	Medtr7g014980.1
MtrunA17_Chr5g0399001	Medtr5g012130.1
MtrunA17_Chr2g0310581	Medtr2g066050.1
MtrunA17_Chr7g0234681	Medtr7g053290.1
MtrunA17_Chr2g0285511	Medtr2g018750.1
MtrunA17_Chr1g0147331	Medtr1g008590.1
