locus_tag	ftype	length_bp	gene	EC_number	COG	product
USDA1021_02038	CDS	1161			COG0654	putative protein
USDA1021_02039	CDS	2001	fyuA		COG1629	Pesticin receptor
USDA1021_02040	CDS	1266	ampG		COG0477	Anhydromuropeptide permease
USDA1021_02041	CDS	1023	rhaR_1			HTH-type transcriptional activator RhaR
USDA1021_02042	CDS	291				hypothetical protein
USDA1021_02043	tRNA	90				tRNA-Ser(gga)
USDA1021_02044	CDS	318				hypothetical protein
USDA1021_02045	CDS	654	msrA	1.8.4.11	COG0225	Peptide methionine sulfoxide reductase MsrA
USDA1021_02046	CDS	993	tmpC		COG1744	Membrane lipoprotein TmpC
USDA1021_02047	CDS	210	slyX			Protein SlyX
USDA1021_02048	CDS	735				hypothetical protein
USDA1021_02049	CDS	1362	cnbH_1	3.5.99.5		2-amino-5-chloromuconic acid deaminase
USDA1021_02050	CDS	912	nagK	2.7.1.59	COG1940	N-acetyl-D-glucosamine kinase
USDA1021_02051	CDS	738	cutC		COG3142	Copper homeostasis protein CutC
USDA1021_02052	CDS	1161	agaAII	3.5.1.-	COG1820	N-acetylgalactosamine-6-phosphate deacetylase
USDA1021_02053	CDS	1023	glmS	2.6.1.16	COG0449	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
USDA1021_02054	CDS	765	nagR_1		COG2188	HTH-type transcriptional repressor NagR
USDA1021_02055	CDS	885	gspK	2.7.1.8	COG2971	Glucosamine kinase GspK
USDA1021_02056	CDS	897	murQ	4.2.1.126	COG2103	N-acetylmuramic acid 6-phosphate etherase
USDA1021_02057	CDS	1260	msmE		COG1653	Multiple sugar-binding protein
USDA1021_02058	CDS	948	lacF_1			Lactose transport system permease protein LacF
USDA1021_02059	CDS	840	ngcG_2		COG0395	Diacetylchitobiose uptake system permease protein NgcG
USDA1021_02060	CDS	1065	iolG_4	1.1.1.369		Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase
USDA1021_02061	CDS	1011	malK_1	7.5.2.1	COG3839	Maltose/maltodextrin import ATP-binding protein MalK
USDA1021_02062	CDS	1419	mdtA_2			Multidrug resistance protein MdtA
USDA1021_02063	CDS	3147	acrB		COG0841	Multidrug efflux pump subunit AcrB
USDA1021_02064	CDS	651	bepR			HTH-type transcriptional repressor BepR
USDA1021_02065	CDS	471				hypothetical protein
USDA1021_02066	CDS	765	moeZ		COG0476	putative adenylyltransferase/sulfurtransferase MoeZ
USDA1021_02067	CDS	1125	recF		COG1195	DNA replication and repair protein RecF
USDA1021_02068	CDS	645				hypothetical protein
USDA1021_02069	CDS	1005				hypothetical protein
USDA1021_02070	CDS	636				hypothetical protein
USDA1021_02071	CDS	885				hypothetical protein
USDA1021_02072	CDS	1140	dnaJ_2		COG0484	Chaperone protein DnaJ
USDA1021_02073	CDS	1926	dnaK_2		COG0443	Chaperone protein DnaK
USDA1021_02074	CDS	2304	mtgA_2	2.4.1.129		Biosynthetic peptidoglycan transglycosylase
USDA1021_02075	CDS	924	ribN_3			Riboflavin transporter
USDA1021_02076	CDS	492				hypothetical protein
USDA1021_02077	CDS	948				hypothetical protein
USDA1021_02078	CDS	1395	dapE_2	3.5.1.18	COG0624	Succinyl-diaminopimelate desuccinylase
USDA1021_02079	CDS	444				hypothetical protein
USDA1021_02080	CDS	3015	polA	2.7.7.7	COG0258	DNA polymerase I
USDA1021_02081	CDS	1005		1.1.1.29		Glycerate dehydrogenase
USDA1021_02082	CDS	540				hypothetical protein
USDA1021_02083	CDS	516				hypothetical protein
USDA1021_02084	CDS	993	ydjH_1	2.7.1.-	COG0524	putative sugar kinase YdjH
USDA1021_02085	CDS	426				hypothetical protein
USDA1021_02086	CDS	594				hypothetical protein
USDA1021_02087	CDS	792	nth	4.2.99.18		Endonuclease III
USDA1021_02088	CDS	498				hypothetical protein
USDA1021_02089	CDS	873	ogt_1	2.1.1.63		Methylated-DNA--protein-cysteine methyltransferase
USDA1021_02090	CDS	636	gpmA_2	5.4.2.11		2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
USDA1021_02091	CDS	819	dapB	1.17.1.8	COG0289	4-hydroxy-tetrahydrodipicolinate reductase
USDA1021_02092	CDS	1851	msbA_1	7.5.2.6	COG1132	Lipid A export ATP-binding/permease protein MsbA
USDA1021_02093	CDS	1020	glk	2.7.1.2	COG0837	Glucokinase
USDA1021_02094	CDS	381	mgsA	4.2.3.3	COG1803	Methylglyoxal synthase
USDA1021_02095	CDS	1068	mepA	3.4.24.-		Penicillin-insensitive murein endopeptidase
USDA1021_02096	CDS	1860	appA			Oligopeptide-binding protein AppA
USDA1021_02097	CDS	1083	yejB		COG4174	Inner membrane ABC transporter permease protein YejB
USDA1021_02098	CDS	1134	yejE		COG4239	Inner membrane ABC transporter permease protein YejE
USDA1021_02099	CDS	1629	yejF_1		COG4172	putative ABC transporter ATP-binding protein YejF
USDA1021_02100	CDS	960	ghrA_1	1.1.1.79	COG0111	Glyoxylate/hydroxypyruvate reductase A
USDA1021_02101	CDS	855				hypothetical protein
USDA1021_02102	CDS	345				hypothetical protein
USDA1021_02103	CDS	1392	pepA_2	3.4.11.10		cytosol aminopeptidase
USDA1021_02104	CDS	810	bepA_1	3.4.-.-		Beta-barrel assembly-enhancing protease
USDA1021_02105	CDS	1164			COG3385	IS4 family transposase ISRm16
USDA1021_02106	CDS	984				hypothetical protein
USDA1021_02107	CDS	1011				hypothetical protein
USDA1021_02108	CDS	1470				hypothetical protein
USDA1021_02109	CDS	1287				hypothetical protein
USDA1021_02110	CDS	681				hypothetical protein
USDA1021_02111	CDS	1536	sctC_1			Type 3 secretion system secretin
USDA1021_02112	CDS	810				hypothetical protein
USDA1021_02113	CDS	513				hypothetical protein
USDA1021_02114	CDS	183				hypothetical protein
USDA1021_02115	CDS	417				hypothetical protein
USDA1021_02116	CDS	615				hypothetical protein
USDA1021_02117	CDS	585				hypothetical protein
USDA1021_02118	CDS	1221	deoB	5.4.2.7	COG1015	Phosphopentomutase
USDA1021_02119	CDS	975		3.5.4.2	COG1816	Adenine deaminase
USDA1021_02120	CDS	630	upp	2.4.2.9		Uracil phosphoribosyltransferase
USDA1021_02121	CDS	1323	deoA	2.4.2.4	COG0213	Thymidine phosphorylase
USDA1021_02122	CDS	798	punA	2.4.2.1		Purine nucleoside phosphorylase 1
USDA1021_02123	CDS	459	cdd	3.5.4.5	COG0295	Cytidine deaminase
USDA1021_02124	CDS	972	rfuD		COG1079	putative riboflavin import permease protein RfuD
USDA1021_02125	CDS	1134	rfuC_1		COG4603	putative riboflavin import permease protein RfuC
USDA1021_02126	CDS	1536	mglA_2	7.5.2.11	COG1129	Galactose/methyl galactoside import ATP-binding protein MglA
USDA1021_02127	CDS	2232	zntA	3.6.3.3		Zinc/cadmium/lead-transporting P-type ATPase
USDA1021_02128	CDS	1299	yteT	1.-.-.-	COG0673	Putative oxidoreductase YteT
USDA1021_02129	CDS	825				hypothetical protein
USDA1021_02130	CDS	1416				hypothetical protein
USDA1021_02131	CDS	1164				hypothetical protein
USDA1021_02132	CDS	1149	xdh	1.1.1.179		D-xylose dehydrogenase
USDA1021_02133	CDS	678	nicS_1			HTH-type transcriptional repressor NicS
USDA1021_02134	CDS	1284	yesO_1		COG1653	Putative ABC transporter substrate-binding protein YesO
USDA1021_02135	CDS	948	lacF_2			Lactose transport system permease protein LacF
USDA1021_02136	CDS	888	ngcG_3		COG0395	Diacetylchitobiose uptake system permease protein NgcG
USDA1021_02137	CDS	1017				hypothetical protein
USDA1021_02138	CDS	1074	iolG_5	1.1.1.369		Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase
USDA1021_02139	CDS	1083	malK_2	7.5.2.1	COG3839	Maltose/maltodextrin import ATP-binding protein MalK
USDA1021_02140	CDS	642				hypothetical protein
USDA1021_02141	CDS	885		3.1.1.99		6-deoxy-6-sulfogluconolactonase
USDA1021_02142	CDS	723	lutR_1		COG2186	HTH-type transcriptional regulator LutR
USDA1021_02143	CDS	1725		4.2.1.162		6-deoxy-6-sulfo-D-gluconate dehydratase
USDA1021_02144	CDS	786	udh	1.1.1.203	COG0451	Uronate dehydrogenase
USDA1021_02145	CDS	2454	xpkA_1	4.1.2.9		Xylulose-5-phosphate phosphoketolase
USDA1021_02146	CDS	1785				hypothetical protein
USDA1021_02147	CDS	2370	gcvT_2	2.1.2.10		Aminomethyltransferase
USDA1021_02148	CDS	1338				hypothetical protein
USDA1021_02149	CDS	1041				hypothetical protein
USDA1021_02150	CDS	966	cntB	1.14.13.239	COG1018	Carnitine monooxygenase reductase subunit
USDA1021_02151	CDS	606				hypothetical protein
USDA1021_02152	CDS	1134	gcvT_3	2.1.2.10	COG0404	Aminomethyltransferase
USDA1021_02153	CDS	891	purU_1	3.5.1.10	COG0788	Formyltetrahydrofolate deformylase
USDA1021_02154	CDS	732				hypothetical protein
USDA1021_02155	CDS	318				hypothetical protein
USDA1021_02156	CDS	384				hypothetical protein
USDA1021_02157	CDS	162				hypothetical protein
USDA1021_02158	CDS	1398	yhdG		COG0531	putative amino acid permease YhdG
USDA1021_02159	CDS	468				hypothetical protein
USDA1021_02160	CDS	264				hypothetical protein
USDA1021_02161	CDS	1308	glnT	6.3.1.2	COG0174	Glutamine synthetase
USDA1021_02162	CDS	1329	fni	5.3.3.2		Isopentenyl-diphosphate delta-isomerase
USDA1021_02163	CDS	687				hypothetical protein
USDA1021_02164	CDS	906	purF_2	2.4.2.14		Amidophosphoribosyltransferase
USDA1021_02165	CDS	975	cdhR_4		COG4977	HTH-type transcriptional regulator CdhR
USDA1021_02166	CDS	1251	soxB_1	1.5.3.1		Sarcosine oxidase subunit beta
USDA1021_02167	CDS	279	soxD_1	1.5.3.1		Sarcosine oxidase subunit delta
USDA1021_02168	CDS	2964	soxA_2	1.5.3.1		Sarcosine oxidase subunit alpha
USDA1021_02169	CDS	534				hypothetical protein
USDA1021_02170	CDS	921	folD_1		COG0190	Bifunctional protein FolD protein
USDA1021_02171	CDS	1149				hypothetical protein
USDA1021_02172	CDS	357				hypothetical protein
USDA1021_02173	CDS	852	hdfR_3			HTH-type transcriptional regulator HdfR
USDA1021_02174	CDS	1167	metB	2.5.1.48	COG0626	Cystathionine gamma-synthase
USDA1021_02175	CDS	669				hypothetical protein
USDA1021_02176	CDS	633				hypothetical protein
USDA1021_02177	CDS	594				hypothetical protein
USDA1021_02178	CDS	540				hypothetical protein
USDA1021_02179	CDS	1311				hypothetical protein
USDA1021_02180	tRNA	77				tRNA-Met(cat)
USDA1021_02181	rRNA	108				5S ribosomal RNA
USDA1021_02182	rRNA	2853				23S ribosomal RNA
USDA1021_02183	tRNA	76				tRNA-Ala(tgc)
USDA1021_02184	tRNA	77				tRNA-Ile(gat)
USDA1021_02185	rRNA	1482				16S ribosomal RNA
USDA1021_02186	CDS	1227	ynjB		COG4134	Protein YnjB
USDA1021_02187	CDS	1689				hypothetical protein
USDA1021_02188	CDS	684	thiQ_1	3.6.3.-	COG3840	Thiamine import ATP-binding protein ThiQ
USDA1021_02189	CDS	2463	hrpB	3.6.4.13	COG1643	ATP-dependent RNA helicase HrpB
USDA1021_02190	CDS	1302	regB	2.7.13.3		Sensor histidine kinase RegB
USDA1021_02191	CDS	585	regA		COG4567	Photosynthetic apparatus regulatory protein RegA
USDA1021_02192	CDS	525				hypothetical protein
USDA1021_02193	CDS	675				hypothetical protein
USDA1021_02194	CDS	2172	glcB	2.3.3.9	COG2225	Malate synthase G
USDA1021_02195	CDS	2007				hypothetical protein
USDA1021_02196	CDS	1401		1.14.-.-		Putative cytochrome P450 132
USDA1021_02197	CDS	951				hypothetical protein
USDA1021_02198	CDS	1308	hslU		COG1220	ATP-dependent protease ATPase subunit HslU
USDA1021_02199	CDS	522	aacA4	2.3.1.82		Aminoglycoside N(6')-acetyltransferase type 1
USDA1021_02200	CDS	558	hslV	3.4.25.2	COG5405	ATP-dependent protease subunit HslV
USDA1021_02201	CDS	609	hisB		COG0131	Histidine biosynthesis bifunctional protein HisB
USDA1021_02202	CDS	474				hypothetical protein
USDA1021_02203	CDS	651	hisH	4.3.2.10	COG0118	Imidazole glycerol phosphate synthase subunit HisH
USDA1021_02204	CDS	744	hisA	5.3.1.16	COG0106	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase
USDA1021_02205	CDS	777	hisF	4.3.2.10	COG0107	Imidazole glycerol phosphate synthase subunit HisF
USDA1021_02206	CDS	324	hisE	3.6.1.31	COG0140	Phosphoribosyl-ATP pyrophosphatase
USDA1021_02207	CDS	996	coaA_2	2.7.1.33		Pantothenate kinase
USDA1021_02208	CDS	612	alkB	1.14.11.33	COG3145	Alpha-ketoglutarate-dependent dioxygenase AlkB
USDA1021_02209	CDS	474	kbp		COG1652	Potassium binding protein Kbp
USDA1021_02210	CDS	435	arfB	3.1.1.29	COG1186	Peptidyl-tRNA hydrolase ArfB
USDA1021_02211	CDS	1611	pckA	4.1.1.49	COG1866	Phosphoenolpyruvate carboxykinase (ATP)
USDA1021_02212	CDS	723	baeR		COG0745	Transcriptional regulatory protein BaeR
USDA1021_02213	CDS	1788	sasA_4	2.7.-.-		Adaptive-response sensory-kinase SasA
USDA1021_02214	CDS	447	hprK	2.7.4.-		HPr kinase/phosphorylase
USDA1021_02215	CDS	402				hypothetical protein
USDA1021_02216	CDS	294				hypothetical protein
USDA1021_02217	CDS	1401	ahcY	3.3.1.1		Adenosylhomocysteinase
USDA1021_02218	CDS	2481	rcsC_6	2.7.13.3		Sensor histidine kinase RcsC
USDA1021_02219	CDS	1515				hypothetical protein
USDA1021_02220	CDS	732	murU	2.7.7.99	COG1208	N-acetylmuramate alpha-1-phosphate uridylyltransferase
USDA1021_02221	CDS	3180				hypothetical protein
USDA1021_02222	CDS	3570	addA	3.6.4.12		ATP-dependent helicase/nuclease subunit A
USDA1021_02223	CDS	324				Thioredoxin C-1
USDA1021_02224	CDS	1164			COG3385	IS4 family transposase ISRm16
USDA1021_02225	CDS	1344	fpgS	6.3.2.17		Folylpolyglutamate synthase
USDA1021_02226	CDS	915	accD	2.1.3.15	COG0777	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta
USDA1021_02227	CDS	840	trpA	4.2.1.20	COG0159	Tryptophan synthase alpha chain
USDA1021_02228	CDS	1221	trpB	4.2.1.20	COG0133	Tryptophan synthase beta chain
USDA1021_02229	CDS	648	trpF	5.3.1.24	COG0135	N-(5'-phosphoribosyl)anthranilate isomerase
USDA1021_02230	CDS	636				hypothetical protein
USDA1021_02231	CDS	426				hypothetical protein
USDA1021_02232	CDS	1275				hypothetical protein
USDA1021_02233	CDS	1017	lgoD_1	1.1.1.414	COG1063	L-galactonate-5-dehydrogenase
USDA1021_02234	CDS	975	rbsC_1		COG1172	Ribose import permease protein RbsC
USDA1021_02235	CDS	1554	rbsA_1	7.5.2.7	COG1129	Ribose import ATP-binding protein RbsA
USDA1021_02236	CDS	990	rbsB_1		COG1879	Ribose import binding protein RbsB
USDA1021_02237	CDS	1020	pld1_1	1.1.1.107		Pyridoxal 4-dehydrogenase
USDA1021_02238	CDS	1536	uxaA	4.2.1.7	COG2721	Altronate dehydratase
USDA1021_02239	CDS	879	lgoR		COG1802	putative HTH-type transcriptional regulator LgoR
USDA1021_02240	CDS	801	hpcH	4.1.2.52	COG3836	4-hydroxy-2-oxo-heptane-1,7-dioate aldolase
USDA1021_02241	CDS	1455	davD_1	1.2.1.-	COG1012	Glutarate-semialdehyde dehydrogenase
USDA1021_02242	CDS	597	rutE	1.1.1.298		malonic semialdehyde reductase RutE
USDA1021_02243	CDS	2436	gyrB_2	5.6.2.2		DNA gyrase subunit B
USDA1021_02244	CDS	378				hypothetical protein
USDA1021_02245	CDS	567				hypothetical protein
USDA1021_02246	CDS	1119				hypothetical protein
USDA1021_02247	CDS	702				hypothetical protein
USDA1021_02248	CDS	576				hypothetical protein
USDA1021_02249	CDS	549	secB			Protein-export protein SecB
USDA1021_02250	CDS	729	dnaQ	2.7.7.7	COG0847	DNA polymerase III subunit epsilon
USDA1021_02251	CDS	585	coaE	2.7.1.24	COG0237	Dephospho-CoA kinase
USDA1021_02252	CDS	861	aroE_1	1.1.1.25	COG0169	Shikimate dehydrogenase (NADP(+))
USDA1021_02253	CDS	600	yceF	3.6.1.-	COG0424	7-methyl-GTP pyrophosphatase
USDA1021_02254	CDS	822	yqfL	2.7.11.32	COG1806	Putative pyruvate, phosphate dikinase regulatory protein
USDA1021_02255	CDS	1032	hemE	4.1.1.37	COG0407	Uroporphyrinogen decarboxylase
USDA1021_02256	CDS	543				hypothetical protein
USDA1021_02257	CDS	1266	rho	3.6.4.-	COG1158	Transcription termination factor Rho
USDA1021_02258	CDS	1320	mnmE	3.6.-.-	COG0486	tRNA modification GTPase MnmE
USDA1021_02259	CDS	1872	mnmG		COG0445	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG
USDA1021_02260	CDS	642	rsmG	2.1.1.170		Ribosomal RNA small subunit methyltransferase G
USDA1021_02261	CDS	795	parA			Chromosome partitioning protein ParA
USDA1021_02262	CDS	891	parB			Chromosome-partitioning protein ParB
USDA1021_02263	CDS	1032				hypothetical protein
USDA1021_02264	CDS	546				hypothetical protein
USDA1021_02265	CDS	2631	leuS	6.1.1.4		Leucine--tRNA ligase
USDA1021_02266	CDS	660			COG0325	Pyridoxal phosphate homeostasis protein
USDA1021_02267	CDS	1908	acsA_1	6.2.1.1	COG0365	Acetyl-coenzyme A synthetase
USDA1021_02268	CDS	699				hypothetical protein
USDA1021_02269	CDS	1950	acsA_2	6.2.1.1	COG0365	Acetyl-coenzyme A synthetase
USDA1021_02270	CDS	255				hypothetical protein
USDA1021_02271	CDS	960	htpX	3.4.24.-	COG0501	Protease HtpX 
USDA1021_02272	CDS	1413	rsmB_2	2.1.1.176		Ribosomal RNA small subunit methyltransferase B
USDA1021_02273	CDS	1686	fzlC			FtsZ-localized protein C
USDA1021_02274	CDS	1611	purH		COG0138	Bifunctional purine biosynthesis protein PurH
USDA1021_02275	CDS	1392				hypothetical protein
USDA1021_02276	CDS	4788	gdh_1	1.4.1.2	COG2902	NAD-specific glutamate dehydrogenase
USDA1021_02277	CDS	882	pdxY	2.7.1.35	COG2240	Pyridoxal kinase PdxY
USDA1021_02278	CDS	684	cynT	4.2.1.1	COG0288	Carbonic anhydrase 1
USDA1021_02279	CDS	822				hypothetical protein
USDA1021_02280	CDS	1035	asd2_1	1.2.1.11	COG0136	Aspartate-semialdehyde dehydrogenase 2
USDA1021_02281	CDS	261	vapB1		COG4456	Antitoxin VapB1
USDA1021_02282	CDS	405	vapC_3	3.1.-.-	COG1487	tRNA(fMet)-specific endonuclease VapC
USDA1021_02283	CDS	1890	nanT			Sialic acid transporter NanT
USDA1021_02284	CDS	708				hypothetical protein
USDA1021_02285	CDS	1113	leuB	1.1.1.85		3-isopropylmalate dehydrogenase
USDA1021_02286	CDS	642				hypothetical protein
USDA1021_02287	CDS	2064	dcp	3.4.15.5	COG0339	Dipeptidyl carboxypeptidase
USDA1021_02288	CDS	1170				hypothetical protein
USDA1021_02289	CDS	1044	ccpA_1		COG1609	Catabolite control protein A
USDA1021_02290	CDS	1002	afr_1	1.1.1.292		1,5-anhydro-D-fructose reductase
USDA1021_02291	CDS	1623	carA_1	2.8.3.23	COG4670	Caffeate CoA-transferase
USDA1021_02292	CDS	780	crt_1	4.2.1.150	COG1024	Short-chain-enoyl-CoA hydratase
USDA1021_02293	CDS	1509	betB_2	1.2.1.8	COG1012	NAD/NADP-dependent betaine aldehyde dehydrogenase
USDA1021_02294	CDS	1245				putative sugar-binding periplasmic protein
USDA1021_02295	CDS	879	melD_2		COG1175	Melibiose/raffinose/stachyose import permease protein MelD
USDA1021_02296	CDS	882	ngcG_4		COG0395	Diacetylchitobiose uptake system permease protein NgcG
USDA1021_02297	CDS	1113	ugpC_3	7.6.2.10	COG3839	sn-glycerol-3-phosphate import ATP-binding protein UgpC
USDA1021_02298	CDS	1509	livQ	1.1.3.-		6'''-hydroxyparomomycin C oxidase
USDA1021_02299	CDS	774	fabG_6	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
USDA1021_02300	CDS	1656	alkJ_1	1.1.99.-		Alcohol dehydrogenase [acceptor]
USDA1021_02301	CDS	1368	ttuD_1	1.1.1.81		Putative hydroxypyruvate reductase
USDA1021_02302	CDS	1338	bauA_1	2.6.1.18	COG0161	Beta-alanine--pyruvate aminotransferase
USDA1021_02303	CDS	549	puuR			HTH-type transcriptional regulator PuuR
USDA1021_02304	CDS	1233	aatB_1	2.6.1.1	COG0436	Aspartate aminotransferase
USDA1021_02305	CDS	1533	davD_2	1.2.1.-	COG1012	Glutarate-semialdehyde dehydrogenase
USDA1021_02306	CDS	1422	dld	1.1.5.12		Quinone-dependent D-lactate dehydrogenase
USDA1021_02307	CDS	1401			COG5383	putative protein
USDA1021_02308	CDS	894	gcvA_2			Glycine cleavage system transcriptional activator
USDA1021_02309	CDS	8613	ndvB_1	2.4.1.-	COG3459	Cyclic beta-(1,2)-glucan synthase NdvB
USDA1021_02310	CDS	1158				hypothetical protein
USDA1021_02311	CDS	408				hypothetical protein
USDA1021_02312	CDS	474				IS630 family transposase ISRm2011-2
USDA1021_02313	CDS	1113				hypothetical protein
USDA1021_02314	CDS	1752	ndvA	7.5.2.3	COG1132	Beta-(1-->2)glucan export ATP-binding/permease protein NdvA
USDA1021_02315	CDS	318				hypothetical protein
USDA1021_02316	CDS	414	rpaR_1		COG2771	HTH-type quorum sensing-dependent transcriptional regulator RpaR
USDA1021_02317	CDS	3459	pycA	6.4.1.1		Pyruvate carboxylase
USDA1021_02318	CDS	762	tcyC	3.6.3.-	COG1126	L-cystine import ATP-binding protein TcyC
USDA1021_02319	CDS	681	tcyB_1		COG0765	L-cystine transport system permease protein TcyB
USDA1021_02320	CDS	774			COG0834	putative amino-acid ABC transporter-binding protein
USDA1021_02321	CDS	783	glpR_2		COG1349	Glycerol-3-phosphate regulon repressor
USDA1021_02322	CDS	1191	ybjJ			Inner membrane protein YbjJ
USDA1021_02323	CDS	1254	ispG	1.17.7.3	COG0821	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin)
USDA1021_02324	CDS	642	rhtC_1		COG1280	Threonine efflux protein
USDA1021_02325	CDS	1056	hisC_3	2.6.1.9	COG0079	Histidinol-phosphate aminotransferase
USDA1021_02326	CDS	915		2.5.1.10		Farnesyl diphosphate synthase
USDA1021_02327	CDS	789	mtgA_3	2.4.1.129		Biosynthetic peptidoglycan transglycosylase
USDA1021_02328	CDS	648				hypothetical protein
USDA1021_02329	CDS	186	rpmF		COG0333	50S ribosomal protein L32
USDA1021_02330	CDS	579				hypothetical protein
USDA1021_02331	CDS	1182	phaA	2.3.1.9		Acetyl-CoA acetyltransferase
USDA1021_02332	CDS	726	phaB	1.1.1.36		Acetoacetyl-CoA reductase
USDA1021_02333	CDS	3072				hypothetical protein
USDA1021_02334	CDS	432	hslR		COG1188	Heat shock protein 15
USDA1021_02335	CDS	339	fdxA		COG1146	Ferredoxin-2
USDA1021_02336	CDS	570				hypothetical protein
USDA1021_02337	CDS	867	rpoH_1		COG0568	RNA polymerase sigma factor RpoH
USDA1021_02338	CDS	1494	bepA_2	3.4.-.-		Beta-barrel assembly-enhancing protease
USDA1021_02339	CDS	717	thiQ_2	3.6.3.-	COG3840	Thiamine import ATP-binding protein ThiQ
USDA1021_02340	CDS	1608				hypothetical protein
USDA1021_02341	CDS	1029	thiB		COG4143	Thiamine-binding periplasmic protein
USDA1021_02342	CDS	486				hypothetical protein
USDA1021_02343	CDS	651				hypothetical protein
USDA1021_02344	CDS	1842	uup		COG0488	ABC transporter ATP-binding protein uup
USDA1021_02345	CDS	822	yxeN_1			putative amino-acid permease protein YxeN
USDA1021_02346	CDS	810	glnH_1		COG0834	Glutamine-binding periplasmic protein
USDA1021_02347	CDS	534				hypothetical protein
USDA1021_02348	CDS	747	yfcA		COG0730	putative membrane transporter protein YfcA
USDA1021_02349	CDS	723	trmD	2.1.1.228	COG0336	tRNA (guanine-N(1)-)-methyltransferase
USDA1021_02350	CDS	564	rimM		COG0806	Ribosome maturation factor RimM
USDA1021_02351	CDS	375	rpsP		COG0228	30S ribosomal protein S16
USDA1021_02352	CDS	336				hypothetical protein
USDA1021_02353	CDS	1542	ffh		COG0541	Signal recognition particle protein
USDA1021_02354	CDS	906	dapF	5.1.1.7	COG0253	Diaminopimelate epimerase
USDA1021_02355	CDS	1275	mtaB	2.8.4.5	COG0621	Threonylcarbamoyladenosine tRNA methylthiotransferase MtaB
USDA1021_02356	CDS	1647	ftsY			Signal recognition particle receptor FtsY
USDA1021_02357	CDS	633	yciB			intracellular septation protein A
USDA1021_02358	CDS	594				hypothetical protein
USDA1021_02359	CDS	609	cycY		COG0526	Thiol:disulfide interchange protein CycY
USDA1021_02360	CDS	177				hypothetical protein
USDA1021_02361	CDS	771	ccmC		COG0755	Heme exporter protein C
USDA1021_02362	CDS	660	ccmB		COG2386	Heme exporter protein B
USDA1021_02363	CDS	624	ccmA	7.6.2.5	COG4133	Cytochrome c biogenesis ATP-binding export protein CcmA
USDA1021_02364	CDS	2691	acnA	4.2.1.3	COG1048	Aconitate hydratase A
USDA1021_02365	CDS	819				hypothetical protein
USDA1021_02366	CDS	411				hypothetical protein
USDA1021_02367	CDS	315				hypothetical protein
USDA1021_02368	CDS	360				hypothetical protein
USDA1021_02369	CDS	618	clpP_2	3.4.21.92		ATP-dependent Clp protease proteolytic subunit
USDA1021_02370	CDS	558	pitA	2.3.1.-	COG1247	L-methionine sulfoximine/L-methionine sulfone acetyltransferase
USDA1021_02371	CDS	738	ybhL		COG0670	Inner membrane protein YbhL
USDA1021_02372	CDS	2592				hypothetical protein
USDA1021_02373	CDS	720	lolD_2	3.6.3.-	COG1136	Lipoprotein-releasing system ATP-binding protein LolD
USDA1021_02374	CDS	642		3.1.1.2		Arylesterase
USDA1021_02375	CDS	588	thpR	3.1.4.58		RNA 2',3'-cyclic phosphodiesterase
USDA1021_02376	CDS	315	phhB	4.2.1.96	COG2154	Putative pterin-4-alpha-carbinolamine dehydratase
USDA1021_02377	CDS	375				hypothetical protein
USDA1021_02378	CDS	504				hypothetical protein
USDA1021_02379	CDS	1236	rlmN	2.1.1.192	COG0820	Dual-specificity RNA methyltransferase RlmN
USDA1021_02380	CDS	954				hypothetical protein
USDA1021_02381	CDS	879				hypothetical protein
USDA1021_02382	CDS	795	btuD_5	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
USDA1021_02383	CDS	642	rhtB_5		COG1280	Homoserine/homoserine lactone efflux protein
USDA1021_02384	CDS	1218	argG	6.3.4.5	COG0137	Argininosuccinate synthase
USDA1021_02385	CDS	1239	ydhC			Inner membrane transport protein YdhC
USDA1021_02386	CDS	480	slyA_3			Transcriptional regulator SlyA
USDA1021_02387	CDS	117				hypothetical protein
USDA1021_02388	CDS	1410	leuC_1	4.2.1.33	COG0065	3-isopropylmalate dehydratase large subunit
USDA1021_02389	CDS	552		3.1.3.-	COG2062	putative protein
USDA1021_02390	CDS	549				hypothetical protein
USDA1021_02391	CDS	684	walR		COG0745	Transcriptional regulatory protein WalR
USDA1021_02392	CDS	456				hypothetical protein
USDA1021_02393	CDS	807	xthA_3	3.1.11.2	COG0708	Exodeoxyribonuclease III
USDA1021_02394	CDS	903	alsK	2.7.1.55		D-allose kinase
USDA1021_02395	CDS	1287	nagC_1		COG1940	N-acetylglucosamine repressor
USDA1021_02396	CDS	804	frcA_2	7.5.2.-	COG1129	Fructose import ATP-binding protein FrcA
USDA1021_02397	CDS	1008	rbsC_2		COG1172	Ribose import permease protein RbsC
USDA1021_02398	CDS	1014				hypothetical protein
